postal_code,city,population,revenu_moyen_annuel,densite_habitat,age_moyen_habitants,nb_familles,taux_proprietaire,nb_logements,source,scraped_at,date_anonymisation
75001,Paris,63120,36472,5944.0,28.1,8823,61.6,29750,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
69001,Lyon,16219,36474,4830.0,44.1,12282,36.2,15729,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
13001,Marseille,66566,22481,4067.0,31.0,19785,53.6,25614,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
33000,Bordeaux,61633,22514,4535.0,31.1,5237,54.6,10028,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
31000,Toulouse,36805,28632,4969.0,30.6,17183,41.7,34886,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
06000,Nice,25950,43202,1577.0,44.8,12766,43.0,5325,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
44000,Nantes,66957,32731,3831.0,39.8,8699,55.6,8789,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
67000,Strasbourg,64031,25571,3665.0,30.1,10753,44.6,11027,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
59000,Lille,16961,28332,1724.0,38.9,17168,42.4,26189,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
29200,Brest,51633,27045,7863.0,34.7,7869,53.4,22806,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
34000,Montpellier,63915,34455,3075.0,34.4,6854,61.0,10018,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
35000,Rennes,77308,22571,6706.0,30.6,3523,39.5,27964,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
38000,Grenoble,42471,31562,5093.0,39.4,15525,44.4,33556,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
21000,Dijon,17496,43746,3060.0,41.1,10842,57.3,11831,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
49000,Angers,18011,21803,6339.0,33.8,6956,50.4,13998,insee,2025-11-30T14:07:32.512818,2025-11-30T14:07:32.512818
42000,Saint-Étienne,19225,22123,1349.0,40.3,19071,53.4,30762,insee,2025-11-30T14:07:32.518348,2025-11-30T14:07:32.518348
30000,Nîmes,60489,32468,3657.0,43.5,16036,44.9,10025,insee,2025-11-30T14:07:32.518348,2025-11-30T14:07:32.518348
13100,Aix-en-Provence,39773,42736,7489.0,33.2,6507,61.2,11555,insee,2025-11-30T14:07:32.518348,2025-11-30T14:07:32.518348
72000,Le Mans,34109,24247,4508.0,44.8,19099,58.3,8247,insee,2025-11-30T14:07:32.518348,2025-11-30T14:07:32.518348
63000,Clermont-Ferrand,25341,21834,6544.0,43.5,4063,63.1,12879,insee,2025-11-30T14:07:32.518348,2025-11-30T14:07:32.518348
