title,price,surface,postal_code,city,source,scraped_at,quartier_anonymise,date_anonymisation
Maison rénové à Jas de Bouffan,393413,111,13100,Aix-en-Provence,insee,2025-10-31T14:07:32.488306,Quartier_0,2025-11-30T14:07:32.488306
Studio bien situé à Trefilerie,62238,28,42000,Saint-Étienne,json_import,2025-09-23T14:07:32.488306,Quartier_1,2025-11-30T14:07:32.488306
T1 calme à Louvre,243126,15,75001,Paris,csv_import,2025-06-20T14:07:32.488306,Quartier_2,2025-11-30T14:07:32.488306
T2 rénové à Kerichen,82291,34,29200,Brest,json_import,2025-09-18T14:07:32.488306,Quartier_3,2025-11-30T14:07:32.488306
T5+ calme à Minimes,418689,133,31000,Toulouse,json_import,2025-10-29T14:07:32.488306,Quartier_4,2025-11-30T14:07:32.488306
Studio calme à Libération,75487,15,06000,Nice,csv_import,2025-09-08T14:07:32.488306,Quartier_5,2025-11-30T14:07:32.488306
T2 lumineux à Saint-Laurent,104497,35,38000,Grenoble,csv_import,2025-11-19T14:07:32.488306,Quartier_6,2025-11-30T14:07:32.488306
Appartement rénové à Ecusson,348887,91,34000,Montpellier,json_import,2025-11-19T14:07:32.488306,Quartier_7,2025-11-30T14:07:32.488306
Villa moderne à Roseraie,267922,91,49000,Angers,csv_import,2025-10-18T14:07:32.488306,Quartier_8,2025-11-30T14:07:32.488306
Maison calme à Marsannay,324867,156,21000,Dijon,csv_import,2025-10-29T14:07:32.488306,Quartier_9,2025-11-30T14:07:32.488306
Villa calme à Carmes,621395,170,31000,Toulouse,json_import,2025-07-29T14:07:32.488306,Quartier_10,2025-11-30T14:07:32.488306
T3 rénové à Trefilerie,117051,47,42000,Saint-Étienne,insee,2025-09-23T14:07:32.488306,Quartier_11,2025-11-30T14:07:32.488306
Villa rénové à Neustadt,633452,129,67000,Strasbourg,insee,2025-06-20T14:07:32.488306,Quartier_12,2025-11-30T14:07:32.488306
T1 lumineux à Madeleine,132624,35,44000,Nantes,seloger,2025-07-06T14:07:32.488306,Quartier_13,2025-11-30T14:07:32.488306
T2 bien situé à Saint-Laurent,113996,46,38000,Grenoble,insee,2025-07-16T14:07:32.488306,Quartier_14,2025-11-30T14:07:32.488306
Villa bien situé à Lac de Maine,304211,117,49000,Angers,json_import,2025-09-02T14:07:32.488306,Quartier_15,2025-11-30T14:07:32.488306
T5+ bien situé à Le Corbusier,209248,87,42000,Saint-Étienne,insee,2025-06-23T14:07:32.488306,Quartier_16,2025-11-30T14:07:32.488306
T1 lumineux à Le Corbusier,32044,16,42000,Saint-Étienne,leboncoin,2025-08-11T14:07:32.488306,Quartier_17,2025-11-30T14:07:32.488306
T3 calme à Celleneuve,221450,51,34000,Montpellier,csv_import,2025-11-11T14:07:32.488306,Quartier_18,2025-11-30T14:07:32.488306
T1 lumineux à Vieux-Nice,156148,27,06000,Nice,seloger,2025-08-11T14:07:32.488306,Quartier_19,2025-11-30T14:07:32.488306
Studio moderne à Montmartre,350081,28,75001,Paris,json_import,2025-10-15T14:07:32.488306,Quartier_20,2025-11-30T14:07:32.488306
T2 lumineux à Libération,168262,43,06000,Nice,seloger,2025-10-19T14:07:32.488306,Quartier_21,2025-11-30T14:07:32.488306
Studio moderne à Marsannay,74381,34,21000,Dijon,insee,2025-06-14T14:07:32.488306,Quartier_22,2025-11-30T14:07:32.488306
Appartement moderne à Valdegour,262130,99,30000,Nîmes,leboncoin,2025-07-19T14:07:32.488306,Quartier_23,2025-11-30T14:07:32.488306
Villa bien situé à Centre,430679,123,38000,Grenoble,json_import,2025-07-07T14:07:32.488306,Quartier_24,2025-11-30T14:07:32.488306
